Data Format:
GPS ON/OFF | Current Time (Seconds) | Screen On/Off | Trial # | Power Statistics for current time | TimeStamp
Off | 1s | Off | #1 | 293.00W, 2.40A, 7.65V | 2019-11-01 13:51:16.626499
Off | 2s | Off | #1 | 294.00W, 4.00A, 12.75V | 2019-11-01 13:51:16.646495
Off | 3s | Off | #1 | 295.00W, 2.00A, 6.38V | 2019-11-01 13:51:16.670487
Off | 4s | Off | #1 | 296.00W, 3.60A, 11.48V | 2019-11-01 13:51:16.682486
Off | 5s | Off | #1 | 297.00W, 1.80A, 5.74V | 2019-11-01 13:51:16.706478
Off | 6s | Off | #1 | 298.00W, 3.40A, 10.84V | 2019-11-01 13:51:16.718476
Off | 7s | Off | #1 | 299.00W, 1.70A, 5.42V | 2019-11-01 13:51:16.738470
Off | 8s | Off | #1 | 300.00W, 3.30A, 10.52V | 2019-11-01 13:51:16.754465
Off | 9s | Off | #1 | 301.00W, 1.65A, 5.26V | 2019-11-01 13:51:16.770467
Off | 10s | Off | #1 | 302.00W, 3.25A, 10.36V | 2019-11-01 13:51:16.790456
Off | 11s | Off | #1 | 303.00W, 1.63A, 5.18V | 2019-11-01 13:51:16.814450
Off | 12s | Off | #1 | 304.00W, 3.23A, 10.28V | 2019-11-01 13:51:16.834446
Off | 13s | Off | #1 | 305.00W, 1.61A, 5.14V | 2019-11-01 13:51:16.850441
Off | 14s | Off | #1 | 306.00W, 3.21A, 10.24V | 2019-11-01 13:51:16.858440
Off | 15s | Off | #1 | 307.00W, 1.61A, 5.12V | 2019-11-01 13:51:16.878436
Off | 16s | Off | #1 | 308.00W, 3.21A, 10.22V | 2019-11-01 13:51:16.890432
Off | 17s | Off | #1 | 309.00W, 1.60A, 5.11V | 2019-11-01 13:51:16.906429
Off | 18s | Off | #1 | 310.00W, 3.20A, 10.21V | 2019-11-01 13:51:16.918425
Off | 19s | Off | #1 | 311.00W, 1.60A, 5.10V | 2019-11-01 13:51:16.930425
Off | 20s | Off | #1 | 312.00W, 3.20A, 10.20V | 2019-11-01 13:51:16.942418
Off | 0s | Off | #2 | 313.00W, 4.80A, 15.30V | 2019-11-01 13:51:16.954414
Off | 1s | Off | #2 | 314.00W, 2.40A, 7.65V | 2019-11-01 13:51:16.962416
Off | 2s | Off | #2 | 315.00W, 4.00A, 12.75V | 2019-11-01 13:51:16.974411
Off | 3s | Off | #2 | 316.00W, 2.00A, 6.38V | 2019-11-01 13:51:16.982407
Off | 4s | Off | #2 | 317.00W, 3.60A, 11.48V | 2019-11-01 13:51:16.994406
Off | 5s | Off | #2 | 318.00W, 1.80A, 5.74V | 2019-11-01 13:51:17.002402
Off | 6s | Off | #2 | 319.00W, 3.40A, 10.84V | 2019-11-01 13:51:17.014402
Off | 7s | Off | #2 | 320.00W, 1.70A, 5.42V | 2019-11-01 13:51:17.018398
Off | 8s | Off | #2 | 321.00W, 3.30A, 10.52V | 2019-11-01 13:51:17.034396
Off | 9s | Off | #2 | 322.00W, 1.65A, 5.26V | 2019-11-01 13:51:17.038412
Off | 10s | Off | #2 | 323.00W, 3.25A, 10.36V | 2019-11-01 13:51:17.054408
Off | 11s | Off | #2 | 324.00W, 1.63A, 5.18V | 2019-11-01 13:51:17.062391
Off | 12s | Off | #2 | 325.00W, 3.23A, 10.28V | 2019-11-01 13:51:17.074387
Off | 13s | Off | #2 | 326.00W, 1.61A, 5.14V | 2019-11-01 13:51:17.082385
Off | 14s | Off | #2 | 327.00W, 3.21A, 10.24V | 2019-11-01 13:51:17.094383
Off | 15s | Off | #2 | 328.00W, 1.61A, 5.12V | 2019-11-01 13:51:17.110378
Off | 16s | Off | #2 | 329.00W, 3.21A, 10.22V | 2019-11-01 13:51:17.122390
Off | 17s | Off | #2 | 330.00W, 1.60A, 5.11V | 2019-11-01 13:51:17.134369
Off | 18s | Off | #2 | 331.00W, 3.20A, 10.21V | 2019-11-01 13:51:17.146370
Off | 19s | Off | #2 | 332.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.154381
Off | 20s | Off | #2 | 333.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.166378
Off | 0s | On | #1 | 334.00W, 4.80A, 15.30V | 2019-11-01 13:51:17.174359
Off | 1s | On | #1 | 335.00W, 2.40A, 7.65V | 2019-11-01 13:51:17.186374
Off | 2s | On | #1 | 336.00W, 4.00A, 12.75V | 2019-11-01 13:51:17.194373
Off | 3s | On | #1 | 337.00W, 2.00A, 6.38V | 2019-11-01 13:51:17.206368
Off | 4s | On | #1 | 338.00W, 3.60A, 11.48V | 2019-11-01 13:51:17.214367
Off | 5s | On | #1 | 339.00W, 1.80A, 5.74V | 2019-11-01 13:51:17.226352
Off | 6s | On | #1 | 340.00W, 3.40A, 10.84V | 2019-11-01 13:51:17.234344
Off | 7s | On | #1 | 341.00W, 1.70A, 5.42V | 2019-11-01 13:51:17.246358
Off | 8s | On | #1 | 342.00W, 3.30A, 10.52V | 2019-11-01 13:51:17.258343
Off | 9s | On | #1 | 343.00W, 1.65A, 5.26V | 2019-11-01 13:51:17.266353
Off | 10s | On | #1 | 344.00W, 3.25A, 10.36V | 2019-11-01 13:51:17.278340
Off | 11s | On | #1 | 345.00W, 1.63A, 5.18V | 2019-11-01 13:51:17.290330
Off | 12s | On | #1 | 346.00W, 3.23A, 10.28V | 2019-11-01 13:51:17.306328
Off | 13s | On | #1 | 347.00W, 1.61A, 5.14V | 2019-11-01 13:51:17.318327
Off | 14s | On | #1 | 348.00W, 3.21A, 10.24V | 2019-11-01 13:51:17.330321
Off | 15s | On | #1 | 349.00W, 1.61A, 5.12V | 2019-11-01 13:51:17.346317
Off | 16s | On | #1 | 350.00W, 3.21A, 10.22V | 2019-11-01 13:51:17.354314
Off | 17s | On | #1 | 351.00W, 1.60A, 5.11V | 2019-11-01 13:51:17.378309
Off | 18s | On | #1 | 352.00W, 3.20A, 10.21V | 2019-11-01 13:51:17.390305
Off | 19s | On | #1 | 353.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.402305
Off | 20s | On | #1 | 354.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.410301
Off | 21s | On | #1 | 355.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.422299
Off | 22s | On | #1 | 356.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.434311
Off | 23s | On | #1 | 357.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.446290
Off | 24s | On | #1 | 358.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.458289
Off | 25s | On | #1 | 359.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.470285
Off | 26s | On | #1 | 360.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.482282
Off | 27s | On | #1 | 361.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.494281
Off | 28s | On | #1 | 362.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.506277
Off | 29s | On | #1 | 363.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.522271
Off | 30s | On | #1 | 364.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.534271
Off | 31s | On | #1 | 365.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.550271
Off | 32s | On | #1 | 366.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.558264
Off | 33s | On | #1 | 367.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.570260
Off | 34s | On | #1 | 368.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.582257
Off | 35s | On | #1 | 369.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.594258
Off | 36s | On | #1 | 370.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.602268
Off | 37s | On | #1 | 371.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.614248
Off | 38s | On | #1 | 372.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.626256
Off | 39s | On | #1 | 373.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.634261
Off | 40s | On | #1 | 374.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.646258
Off | 0s | On | #2 | 375.00W, 4.80A, 15.30V | 2019-11-01 13:51:17.658238
Off | 1s | On | #2 | 376.00W, 2.40A, 7.65V | 2019-11-01 13:51:17.666235
Off | 2s | On | #2 | 377.00W, 4.00A, 12.75V | 2019-11-01 13:51:17.678232
Off | 3s | On | #2 | 378.00W, 2.00A, 6.38V | 2019-11-01 13:51:17.690232
Off | 4s | On | #2 | 379.00W, 3.60A, 11.48V | 2019-11-01 13:51:17.698244
Off | 5s | On | #2 | 380.00W, 1.80A, 5.74V | 2019-11-01 13:51:17.710226
Off | 6s | On | #2 | 381.00W, 3.40A, 10.84V | 2019-11-01 13:51:17.722222
Off | 7s | On | #2 | 382.00W, 1.70A, 5.42V | 2019-11-01 13:51:17.746233
Off | 8s | On | #2 | 383.00W, 3.30A, 10.52V | 2019-11-01 13:51:17.758216
Off | 9s | On | #2 | 384.00W, 1.65A, 5.26V | 2019-11-01 13:51:17.766210
Off | 10s | On | #2 | 385.00W, 3.25A, 10.36V | 2019-11-01 13:51:17.778209
Off | 11s | On | #2 | 386.00W, 1.63A, 5.18V | 2019-11-01 13:51:17.786210
Off | 12s | On | #2 | 387.00W, 3.23A, 10.28V | 2019-11-01 13:51:17.798219
Off | 13s | On | #2 | 388.00W, 1.61A, 5.14V | 2019-11-01 13:51:17.810199
Off | 14s | On | #2 | 389.00W, 3.21A, 10.24V | 2019-11-01 13:51:17.818196
Off | 15s | On | #2 | 390.00W, 1.61A, 5.12V | 2019-11-01 13:51:17.830195
Off | 16s | On | #2 | 391.00W, 3.21A, 10.22V | 2019-11-01 13:51:17.838193
Off | 17s | On | #2 | 392.00W, 1.60A, 5.11V | 2019-11-01 13:51:17.850189
Off | 18s | On | #2 | 393.00W, 3.20A, 10.21V | 2019-11-01 13:51:17.862189
Off | 19s | On | #2 | 394.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.870184
Off | 20s | On | #2 | 395.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.882185
Off | 21s | On | #2 | 396.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.894179
Off | 22s | On | #2 | 397.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.910175
Off | 23s | On | #2 | 398.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.922173
Off | 24s | On | #2 | 399.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.934168
Off | 25s | On | #2 | 400.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.946165
Off | 26s | On | #2 | 401.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.962163
Off | 27s | On | #2 | 402.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.974158
Off | 28s | On | #2 | 403.00W, 3.20A, 10.20V | 2019-11-01 13:51:17.986156
Off | 29s | On | #2 | 404.00W, 1.60A, 5.10V | 2019-11-01 13:51:17.998152
Off | 30s | On | #2 | 405.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.010156
Off | 31s | On | #2 | 406.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.022146
Off | 32s | On | #2 | 407.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.038142
Off | 33s | On | #2 | 408.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.046139
Off | 34s | On | #2 | 409.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.062136
Off | 35s | On | #2 | 410.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.074132
Off | 36s | On | #2 | 411.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.090129
Off | 37s | On | #2 | 412.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.098127
Off | 38s | On | #2 | 413.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.110123
Off | 39s | On | #2 | 414.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.122124
Off | 40s | On | #2 | 415.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.138119
Off | 0s | Off | #1 | 416.00W, 4.80A, 15.30V | 2019-11-01 13:51:18.150117
Off | 1s | Off | #1 | 417.00W, 2.40A, 7.65V | 2019-11-01 13:51:18.162111
Off | 2s | Off | #1 | 418.00W, 4.00A, 12.75V | 2019-11-01 13:51:18.170109
Off | 3s | Off | #1 | 419.00W, 2.00A, 6.38V | 2019-11-01 13:51:18.182105
Off | 4s | Off | #1 | 420.00W, 3.60A, 11.48V | 2019-11-01 13:51:18.190103
Off | 5s | Off | #1 | 421.00W, 1.80A, 5.74V | 2019-11-01 13:51:18.198101
Off | 6s | Off | #1 | 422.00W, 3.40A, 10.84V | 2019-11-01 13:51:18.210098
Off | 7s | Off | #1 | 423.00W, 1.70A, 5.42V | 2019-11-01 13:51:18.218096
Off | 8s | Off | #1 | 424.00W, 3.30A, 10.52V | 2019-11-01 13:51:18.226094
Off | 9s | Off | #1 | 425.00W, 1.65A, 5.26V | 2019-11-01 13:51:18.238097
Off | 10s | Off | #1 | 426.00W, 3.25A, 10.36V | 2019-11-01 13:51:18.246106
Off | 11s | Off | #1 | 427.00W, 1.63A, 5.18V | 2019-11-01 13:51:18.254105
Off | 12s | Off | #1 | 428.00W, 3.23A, 10.28V | 2019-11-01 13:51:18.262102
Off | 13s | Off | #1 | 429.00W, 1.61A, 5.14V | 2019-11-01 13:51:18.274085
Off | 14s | Off | #1 | 430.00W, 3.21A, 10.24V | 2019-11-01 13:51:18.282080
Off | 15s | Off | #1 | 431.00W, 1.61A, 5.12V | 2019-11-01 13:51:18.302077
Off | 16s | Off | #1 | 432.00W, 3.21A, 10.22V | 2019-11-01 13:51:18.310073
Off | 17s | Off | #1 | 433.00W, 1.60A, 5.11V | 2019-11-01 13:51:18.322074
Off | 18s | Off | #1 | 434.00W, 3.20A, 10.21V | 2019-11-01 13:51:18.330084
Off | 19s | Off | #1 | 435.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.338076
Off | 20s | Off | #1 | 436.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.346063
Off | 21s | Off | #1 | 437.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.358063
Off | 22s | Off | #1 | 438.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.366059
Off | 23s | Off | #1 | 439.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.378072
Off | 24s | Off | #1 | 440.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.386056
Off | 25s | Off | #1 | 441.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.398054
Off | 26s | Off | #1 | 442.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.406053
Off | 27s | Off | #1 | 443.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.418047
Off | 28s | Off | #1 | 444.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.426046
Off | 29s | Off | #1 | 445.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.434042
Off | 30s | Off | #1 | 446.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.442056
Off | 31s | Off | #1 | 447.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.454042
Off | 32s | Off | #1 | 448.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.462034
Off | 33s | Off | #1 | 449.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.474032
Off | 34s | Off | #1 | 450.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.482030
Off | 35s | Off | #1 | 451.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.494028
Off | 36s | Off | #1 | 452.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.506025
Off | 37s | Off | #1 | 453.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.518021
Off | 38s | Off | #1 | 454.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.526035
Off | 39s | Off | #1 | 455.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.534017
Off | 40s | Off | #1 | 456.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.542018
Off | 0s | Off | #2 | 457.00W, 4.80A, 15.30V | 2019-11-01 13:51:18.554016
Off | 1s | Off | #2 | 458.00W, 2.40A, 7.65V | 2019-11-01 13:51:18.566012
Off | 2s | Off | #2 | 459.00W, 4.00A, 12.75V | 2019-11-01 13:51:18.574006
Off | 3s | Off | #2 | 460.00W, 2.00A, 6.38V | 2019-11-01 13:51:18.582006
Off | 4s | Off | #2 | 461.00W, 3.60A, 11.48V | 2019-11-01 13:51:18.590019
Off | 5s | Off | #2 | 462.00W, 1.80A, 5.74V | 2019-11-01 13:51:18.602003
Off | 6s | Off | #2 | 463.00W, 3.40A, 10.84V | 2019-11-01 13:51:18.609997
Off | 7s | Off | #2 | 464.00W, 1.70A, 5.42V | 2019-11-01 13:51:18.617998
Off | 8s | Off | #2 | 465.00W, 3.30A, 10.52V | 2019-11-01 13:51:18.629995
Off | 9s | Off | #2 | 466.00W, 1.65A, 5.26V | 2019-11-01 13:51:18.637990
Off | 10s | Off | #2 | 467.00W, 3.25A, 10.36V | 2019-11-01 13:51:18.645992
Off | 11s | Off | #2 | 468.00W, 1.63A, 5.18V | 2019-11-01 13:51:18.654004
Off | 12s | Off | #2 | 469.00W, 3.23A, 10.28V | 2019-11-01 13:51:18.665984
Off | 13s | Off | #2 | 470.00W, 1.61A, 5.14V | 2019-11-01 13:51:18.673981
Off | 14s | Off | #2 | 471.00W, 3.21A, 10.24V | 2019-11-01 13:51:18.681983
Off | 15s | Off | #2 | 472.00W, 1.61A, 5.12V | 2019-11-01 13:51:18.689977
Off | 16s | Off | #2 | 473.00W, 3.21A, 10.22V | 2019-11-01 13:51:18.701975
Off | 17s | Off | #2 | 474.00W, 1.60A, 5.11V | 2019-11-01 13:51:18.713975
Off | 18s | Off | #2 | 475.00W, 3.20A, 10.21V | 2019-11-01 13:51:18.721991
Off | 19s | Off | #2 | 476.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.729970
Off | 20s | Off | #2 | 477.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.741982
Off | 21s | Off | #2 | 478.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.753964
Off | 22s | Off | #2 | 479.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.761975
Off | 23s | Off | #2 | 480.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.773956
Off | 24s | Off | #2 | 481.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.785953
Off | 25s | Off | #2 | 482.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.793950
Off | 26s | Off | #2 | 483.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.805964
Off | 27s | Off | #2 | 484.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.813946
Off | 28s | Off | #2 | 485.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.825943
Off | 29s | Off | #2 | 486.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.833942
Off | 30s | Off | #2 | 487.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.841955
Off | 31s | Off | #2 | 488.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.853953
Off | 32s | Off | #2 | 489.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.861935
Off | 33s | Off | #2 | 490.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.869933
Off | 34s | Off | #2 | 491.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.881930
Off | 35s | Off | #2 | 492.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.889927
Off | 36s | Off | #2 | 493.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.901925
Off | 37s | Off | #2 | 494.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.909924
Off | 38s | Off | #2 | 495.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.921935
Off | 39s | Off | #2 | 496.00W, 1.60A, 5.10V | 2019-11-01 13:51:18.929917
Off | 40s | Off | #2 | 497.00W, 3.20A, 10.20V | 2019-11-01 13:51:18.941931
